=== SETTRADE SCANNER FULL REPORT ===
Date/Time: 31/07/2026 14:15:32
--------------------------------------------------
Symbol     | Price  | Change%  | Value 5D   | Status         
--------------------------------------------------
AAI        |   4.04 |   +2.54% |    16.61M | [HOLD (3/4)]
ADVANC     | 381.00 |   +0.79% |  2140.87M | [HOLD (2/4)]
AMATA      |  28.50 |   +3.64% |   327.78M | [HOLD (2/4)]
AOT        |  64.00 |   +0.79% |  2087.92M | [HOLD (3/4)]
AP         |   8.25 |   +1.23% |    67.24M | [HOLD (3/4)]
AWC        |   2.98 |   -1.97% |   305.98M | [HOLD (4/4)]
BAM        |   6.90 |   -0.72% |   116.76M | [HOLD (2/4)]
BBGI       |   5.05 |   +3.06% |     9.02M | [HOLD (2/4)]
BBL        | 191.00 |   +0.00% |  3322.43M | [HOLD (1/4)]
BCH        |  10.20 |   +0.00% |    57.52M | [HOLD (1/4)]
BCP        |  44.50 |   +0.00% |   469.44M | [HOLD (2/4)]
BCPG       |   7.15 |   +0.70% |    49.17M | [HOLD (1/4)]
BDMS       |  19.20 |   +1.05% |   990.49M | [HOLD (2/4)]
BEM        |   6.85 |   +2.24% |   157.04M | [HOLD (2/4)]
BGRIM      |  18.90 |   +0.53% |   389.07M | [HOLD (1/4)]
BH         | 188.00 |   +0.80% |   700.62M | [HOLD (3/4)]
BJC        |  16.20 |   -0.61% |   249.00M | [HOLD (4/4)]
BLA        |  25.50 |   +0.99% |    29.10M | [HOLD (1/4)]
BTS        |   2.16 |   +4.85% |   131.19M | [HOLD (2/4)]
BYD        |   0.47 |   +2.17% |     0.88M | [HOLD (1/4)]
CBG        |  51.00 |   +0.49% |   231.29M | [HOLD (3/4)]
CENTEL     |  38.25 |   -1.29% |   149.96M | [HOLD (2/4)]
CHG        |   1.56 |   +0.65% |    25.88M | [HOLD (2/4)]
CK         |  18.40 |   +2.22% |   119.97M | [HOLD (1/4)]
CKP        |   2.54 |   +0.00% |    11.19M | [HOLD (1/4)]
COM7       |  30.25 |   -0.82% |   313.46M | [HOLD (2/4)]
CPALL      |  47.75 |   +1.60% |  1061.24M | [HOLD (3/4)]
CPF        |  22.40 |   +1.36% |   379.16M | [HOLD (2/4)]
CPN        |  68.50 |   +1.11% |   521.75M | [HOLD (3/4)]
CRC        |  26.50 |   +6.85% |   467.07M | 🔥 [BUY SIGNAL (4/4)]
DELTA      | 281.00 |   +6.44% |  5540.89M | [HOLD (1/4)]
EA         |   2.92 |   +0.69% |    84.41M | [HOLD (1/4)]
EGCO       | 133.00 |   -1.48% |   166.43M | [HOLD (1/4)]
EKH        |   5.05 |   +1.00% |     1.21M | [HOLD (3/4)]
FORTH      |  17.80 |  +10.56% |   204.78M | [HOLD (3/4)]
GLOBAL     |   7.40 |   +0.00% |    90.08M | [HOLD (3/4)]
GPSC       |  51.50 |   -1.44% |   510.71M | [HOLD (1/4)]
GULF       |  66.50 |   +1.14% |  2632.86M | [HOLD (2/4)]
GUNKUL     |   5.10 |   +0.99% |   290.64M | [HOLD (1/4)]
HANA       |  36.50 |   +8.96% |   935.26M | [HOLD (1/4)]
HMPRO      |   6.55 |   +1.55% |   257.29M | [HOLD (2/4)]
IRPC       |   2.18 |   +4.81% |   246.33M | [HOLD (2/4)]
IVL        |  22.10 |   +1.38% |   787.74M | [HOLD (1/4)]
JAS        |   1.08 |   +1.89% |    15.10M | [HOLD (2/4)]
JMART      |  11.10 |   +0.91% |   113.26M | [HOLD (1/4)]
JMT        |  12.10 |   +1.68% |    79.05M | [HOLD (2/4)]
KBANK      | 243.00 |   +0.41% |  3724.30M | [HOLD (3/4)]
KCE        |  42.25 |  +11.92% |   830.37M | [HOLD (2/4)]
KKP        | 112.50 |   +0.00% |  1358.18M | [HOLD (1/4)]
KTB        |  44.00 |   +2.92% |  3888.39M | [HOLD (2/4)]
KTC        |  38.50 |   +0.00% |   825.73M | [HOLD (1/4)]
