=== SETTRADE SCANNER FULL REPORT ===
Date/Time: 31/07/2026 14:15:32
--------------------------------------------------
Symbol     | Price  | Change%  | Value 5D   | Status         
LH         |   3.80 |   +0.53% |    58.36M | [HOLD (2/4)]
M          |  21.40 |   -0.47% |    18.82M | [HOLD (2/4)]
MASTER     |   9.05 |   +2.26% |     3.07M | [HOLD (2/4)]
MBK        |  22.80 |   +3.17% |    36.30M | [HOLD (2/4)]
MEGA       |  38.00 |   +0.66% |    20.06M | [HOLD (3/4)]
MINT       |  23.70 |   +2.60% |   981.29M | [HOLD (2/4)]
MTC        |  34.00 |   +0.00% |   384.09M | [HOLD (2/4)]
NEX        |   1.01 |   +1.00% |     6.64M | [HOLD (1/4)]
OR         |  12.80 |   +0.00% |   142.74M | [HOLD (1/4)]
ORI        |   2.06 |   +4.04% |     4.40M | [HOLD (2/4)]
OSP        |  17.50 |   +0.00% |   100.90M | [HOLD (2/4)]
PLANB      |   6.10 |   +0.83% |   180.53M | [HOLD (3/4)]
PRM        |  10.10 |   +2.02% |    73.51M | [HOLD (3/4)]
PSL        |   8.15 |   +2.52% |    25.39M | [HOLD (2/4)]
PTG        |   7.50 |   +0.00% |    18.20M | [HOLD (1/4)]
PTT        |  38.25 |   -0.65% |  2804.25M | [HOLD (1/4)]
PTTEP      | 148.50 |   +0.00% |  2593.42M | [HOLD (2/4)]
PTTGC      |  37.00 |   +0.68% |  1190.44M | [HOLD (1/4)]
QH         |   1.44 |   +1.41% |    20.76M | [HOLD (2/4)]
RATCH      |  38.00 |   -1.94% |   178.53M | [HOLD (1/4)]
RBF        |   4.98 |   -0.40% |     7.70M | [HOLD (3/4)]
RCL        |  35.50 |   +3.65% |    97.24M | [HOLD (3/4)]
SAWAD      |  24.80 |   +0.40% |   381.35M | [HOLD (1/4)]
SCB        | 152.00 |   +0.00% |  2790.39M | [HOLD (1/4)]
SCC        | 254.00 |   -0.39% |  1359.04M | [HOLD (2/4)]
SCGP       |  29.75 |   -1.65% |   221.96M | [HOLD (1/4)]
SNNP       |   7.15 |   +2.88% |     3.24M | [HOLD (2/4)]
SPALI      |  16.00 |   +0.00% |    43.50M | [HOLD (3/4)]
SPRC       |  11.00 |   +1.85% |   388.28M | 🔥 [BUY SIGNAL (4/4)]
STA        |  18.50 |   +0.54% |   145.53M | [HOLD (2/4)]
STGT       |  10.30 |   +0.00% |    10.13M | [HOLD (1/4)]
TCAP       |  78.50 |  +10.18% |   537.49M | 🔥 [BUY SIGNAL (4/4)]
THG        |   7.50 |   +1.35% |     4.53M | [HOLD (2/4)]
TIDLOR     |  18.90 |   -1.05% |   289.71M | [HOLD (1/4)]
TIPH       |  23.50 |   +1.29% |     7.65M | [HOLD (2/4)]
TISCO      | 129.00 |   +0.78% |   480.49M | [HOLD (2/4)]
TLI        |  11.60 |   -0.85% |   116.89M | [HOLD (1/4)]
TOP        |  64.75 |   +1.57% |   979.68M | [HOLD (2/4)]
TPIPL      |   0.90 |   +2.27% |    57.64M | [HOLD (3/4)]
TPIPP      |   1.80 |   +0.56% |     5.56M | [HOLD (1/4)]
TRUE       |  14.50 |   -0.68% |  3010.48M | [HOLD (3/4)]
TTB        |   3.10 |   +1.97% |  1519.26M | [HOLD (2/4)]
TU         |  12.30 |   +0.00% |   169.88M | [HOLD (2/4)]
WHA        |   4.92 |   +2.50% |   968.93M | [HOLD (1/4)]
TFG        |   9.90 |   +1.02% |   113.50M | [HOLD (1/4)]
AAV        |   1.06 |   +0.95% |    25.47M | [HOLD (2/4)]
ITEL       |   1.70 |   +3.66% |     6.16M | [HOLD (2/4)]
THCOM      |  10.90 |   +0.93% |    31.27M | [HOLD (1/4)]
AIT        |   4.92 |   +0.00% |     3.26M | [HOLD (2/4)]
LANNA      |  14.50 |   -0.68% |     2.57M | [HOLD (1/4)]
BAY        |  40.50 |   +0.62% |    87.61M | [HOLD (2/4)]
SPI        |  32.75 |   +0.77% |     0.12M | [HOLD (1/4)]
SPCG       |   9.20 |   +0.00% |     4.34M | [HOLD (1/4)]
AKR        |   0.90 |   +1.12% |     0.60M | [HOLD (3/4)]
NSL        |  23.00 |   +1.32% |     4.66M | [HOLD (2/4)]
MOSHI      |  42.25 |   +3.05% |    17.69M | 🔥 [BUY SIGNAL (4/4)]
CMR        |   1.26 |   +0.80% |     0.10M | [HOLD (1/4)]
META80     |   2.30 |   +0.88% |    50.23M | [HOLD (1/4)]
AMD80      |   3.34 |  +15.17% |    65.35M | [HOLD (1/4)]
MSFT80     |   7.45 |   +5.67% |    61.05M | [HOLD (3/4)]
GOOG80     |   5.70 |   +1.79% |    94.02M | [HOLD (2/4)]
AVGO80     |   2.60 |   +4.00% |     6.96M | [HOLD (3/4)]
MICRON80   |  30.00 |  +21.46% |    29.50M | [HOLD (2/4)]
TSLA80     |   2.12 |   +4.95% |    69.59M | [HOLD (2/4)]
AMZN80     |   2.16 |   +9.64% |    15.65M | [HOLD (2/4)]
PEP80      |   0.94 |   -2.08% |     1.30M | [HOLD (4/4)]
MRVL80     |   6.50 |  +18.18% |    12.40M | [HOLD (2/4)]
NOVOB80    |   1.69 |   -1.17% |     3.00M | [HOLD (3/4)]
SP500US80  |   2.94 |   +0.68% |     1.88M | [HOLD (1/4)]
KO80       |   2.94 |   -1.34% |     0.87M | [HOLD (4/4)]
SBUX80     |   1.78 |   -3.26% |     0.23M | [HOLD (2/4)]
SONY80     |   3.90 |   +0.52% |     1.48M | [HOLD (4/4)]
SINGTEL80  |  11.60 |   -2.52% |     1.03M | [HOLD (1/4)]
JD80       |   5.40 |   +0.00% |     4.01M | [HOLD (3/4)]
NIKE80     |   0.71 |   +0.00% |     0.42M | [HOLD (1/4)]
PFIZER19   |  16.70 |   -0.60% |     2.06M | [HOLD (2/4)]
VNM19      |   7.75 |   -0.64% |     3.11M | [HOLD (4/4)]
THAIBEV19  |  12.00 |   +0.00% |     0.51M | [HOLD (3/4)]
DBS19      |  19.30 |   -1.03% |     2.06M | [HOLD (2/4)]
UOB19      |  11.20 |   -1.75% |     0.04M | [HOLD (1/4)]
SPFIN80    |  19.00 |   -0.52% |     0.03M | [HOLD (1/4)]
SPCOM80    |   3.56 |   -2.73% |     0.03M | [HOLD (1/4)]
HK01       |  22.50 |   -0.88% |     0.60M | [HOLD (3/4)]
SPBOND80   |   8.45 |   -0.59% |     0.19M | [HOLD (1/4)]
SMIC23     |   3.20 |   +0.00% |    12.45M | [HOLD (1/4)]
HUAHONG23  |   7.90 |   +2.60% |    22.41M | [HOLD (1/4)]
