📊 รายงานผลการสแกนหุ้น SET100 (2026-07-30 14:45)
สรุปสัญญาณวันนี้: ซื้อ 19 | ขาย 62 | ถือ 30
=======================================================
Symbol  Price  EMA20    Volume    VolMA5     MACD  Signal     CCI Status
 PTTGC  37.00  36.95  36777976  24364035   1.1902  1.1111  -21.04  🟢 BUY
    QH   1.40   1.39   7696120   8377004   0.0089  0.0105  -16.67 🟡 HOLD
 RATCH  38.00  37.06   4864764   3260852   1.7043  1.8441   -4.52 🟡 HOLD
   RBF   4.86   4.94    454200   1170400   0.0372  0.0719 -129.51 🔴 SELL
   RCL  34.00  33.29   2095522   1738024   0.5978  0.5287   24.31  🟢 BUY
 SAWAD  24.40  24.52  16748460  11850332   0.4940  0.6321  -86.98 🔴 SELL
   SCB 151.50 153.00  11360954  15150410   1.9916  2.9367 -101.71 🔴 SELL
   SCC 254.00 251.27   5914149   3844749   3.7764  4.1857  -45.27 🟡 HOLD
  SCGP  29.50  29.20  11197779   4888355   0.7442  0.8781  -38.43 🟡 HOLD
  SNNP   7.05   7.02    277687    246937   0.0795  0.0883  -53.03 🟡 HOLD
 SPALI  16.00  15.91   3876253   1706770   0.0418  0.0393   55.63  🟢 BUY
  SPRC  10.60   9.41  20044287  28004177   0.8216  0.6771   83.41 🟡 HOLD
   STA  18.20  18.48   4909787   6241917   0.1711  0.1810 -131.49 🔴 SELL
  STGT  10.20  10.50    999711    594442  -0.0576 -0.0290 -158.33 🔴 SELL
  TCAP  70.75  71.43   6043876   3485615   1.8712  2.2807  -94.98 🔴 SELL
   THG   7.40   7.45    272908    449041  -0.0380 -0.0339  -77.78 🔴 SELL
TIDLOR  18.70  19.10  14779788  12011497   0.1300  0.2567 -133.42 🔴 SELL
  TIPH  23.30  23.30    277908    164741   0.2780  0.3631 -154.85 🔴 SELL
 TISCO 126.00 126.24   4479788   2472097   2.7698  3.1995  -52.73 🔴 SELL
   TLI  11.50  11.66  15247446   6516469   0.0763  0.1266 -242.92 🔴 SELL
   TOP  64.00  59.01   9971890  10798058   4.3665  4.0806   46.25 🟡 HOLD
 TPIPL   0.86   0.85  76376084  49978096   0.0221  0.0182   36.84  🟢 BUY
 TPIPP   1.81   1.80   2748693   1644118   0.0114  0.0109  -48.46  🟢 BUY
  TRUE  14.40  13.80 452466890 146486418   0.1778  0.1183  139.03  🟢 BUY
   TTB   3.00   2.83 399557892 384312178   0.1579  0.1391   66.86  🟢 BUY
    TU  12.20  11.99  13495836   9575007   0.1732  0.1584   25.93  🟢 BUY
   WHA   4.78   5.14 171803333 144317406  -0.0407  0.0414 -134.12 🔴 SELL
   TFG   9.75  10.16  18534960   7966452   0.0010  0.1161 -144.50 🔴 SELL
   AAV   1.05   1.07  17531013  17851342  -0.0089 -0.0075 -130.39 🔴 SELL
  ITEL   1.61   1.66   5776540   2498308   0.0553  0.0782 -157.08 🔴 SELL
 THCOM  10.80  11.03   1463010   1883462  -0.1282 -0.1002 -110.38 🔴 SELL
   AIT   4.90   4.86   1401521    438144   0.0377  0.0439  -10.85 🟡 HOLD
 LANNA  14.60  14.59    299991    139018   0.0342  0.0492  -58.33 🟡 HOLD
   BAY  39.75  42.15   2455844   1617848   0.2292  1.0551  -91.87 🔴 SELL
   SPI  33.75  33.40         0       240   0.3894  0.3791   28.34 🟡 HOLD
  SPCG   9.10   9.15    580036    335647   0.0606  0.0834 -131.17 🔴 SELL
   AKR   0.89   0.90    277600    549000  -0.0014  0.0010 -140.00 🔴 SELL
   NSL  22.70  22.74    210631    146386   0.1798  0.2803  -78.59 🔴 SELL
 MOSHI  41.00  39.12    423781    245236   0.6583  0.5668  193.21  🟢 BUY
  TVDH   0.05   0.05    338794   1181558   0.0000  0.0002  -28.46 🔴 SELL
   UMI   0.91   0.92    285000    131440   0.0063  0.0098 -215.92 🔴 SELL
   CMR   1.25   1.26     42810     51722  -0.0073 -0.0061  -90.91 🔴 SELL
=======================================================
