=== SETTRADE SCANNER FULL REPORT ===
Date/Time: 31/07/2026 11:00:45
--------------------------------------------------
Symbol     | Price  | Change%  | Value 5D   | Status         
--------------------------------------------------
AAI        |   4.02 |   +2.03% |    14.22M | [HOLD (3/4)]
ADVANC     | 380.00 |   +0.53% |  1964.80M | [HOLD (2/4)]
AMATA      |  28.00 |   +1.82% |   275.48M | [HOLD (2/4)]
AOT        |  63.75 |   +0.39% |  2029.40M | [HOLD (3/4)]
AP         |   8.25 |   +1.23% |    58.59M | [HOLD (3/4)]
AWC        |   3.02 |   -0.66% |   287.39M | [HOLD (4/4)]
BAM        |   6.90 |   -0.72% |   110.55M | [HOLD (2/4)]
BANPUU     |   0.00 |   +0.00% |     0.00M | [HOLD (0/0)]
BBGI       |   4.96 |   +1.22% |     8.74M | [HOLD (1/4)]
BBL        | 191.00 |   +0.00% |  3235.50M | [HOLD (1/4)]
BCH        |  10.20 |   +0.00% |    56.05M | [HOLD (1/4)]
BCP        |  44.25 |   -0.56% |   455.76M | [HOLD (1/4)]
BCPG       |   7.15 |   +0.70% |    46.61M | [HOLD (1/4)]
BDMS       |  19.20 |   +1.05% |   910.78M | [HOLD (2/4)]
BEM        |   6.80 |   +1.49% |   134.00M | [HOLD (2/4)]
BGRIM      |  18.70 |   -0.53% |   368.10M | [HOLD (1/4)]
BH         | 187.50 |   +0.54% |   624.36M | [HOLD (3/4)]
BJC        |  16.10 |   -1.23% |   238.19M | [HOLD (4/4)]
BLA        |  25.25 |   +0.00% |    27.58M | [HOLD (1/4)]
BPP        |   0.00 |   +0.00% |     0.00M | [HOLD (0/0)]
BTS        |   2.16 |   +4.85% |   113.75M | [HOLD (2/4)]
BYD        |   0.46 |   +0.00% |     0.84M | [HOLD (1/4)]
CBG        |  51.50 |   +1.48% |   223.13M | [HOLD (3/4)]
CENTEL     |  39.00 |   +0.65% |   142.07M | 🔥 [BUY SIGNAL (4/4)]
CHG        |   1.54 |   -0.65% |    22.87M | [HOLD (2/4)]
CK         |  18.40 |   +2.22% |   116.11M | [HOLD (1/4)]
CKP        |   2.54 |   +0.00% |    10.96M | [HOLD (1/4)]
