=== SETTRADE SCANNER FULL REPORT ===
Date/Time: 31/07/2026 13:21:36
--------------------------------------------------
Symbol     | Price  | Change%  | Value 5D   | Status         
GUNKUL     |   5.10 |   +0.99% |   290.24M | [HOLD (1/4)]
HANA       |  36.50 |   +8.96% |   920.88M | [HOLD (1/4)]
HMPRO      |   6.60 |   +2.33% |   254.79M | [HOLD (2/4)]
IRPC       |   2.20 |   +5.77% |   242.70M | [HOLD (2/4)]
IVL        |  22.20 |   +1.83% |   787.19M | [HOLD (1/4)]
JAS        |   1.07 |   +0.94% |    14.47M | [HOLD (1/4)]
JMART      |  11.10 |   +0.91% |   112.93M | [HOLD (1/4)]
JMT        |  12.10 |   +1.68% |    79.02M | [HOLD (2/4)]
KBANK      | 243.00 |   +0.41% |  3679.11M | [HOLD (3/4)]
KCE        |  42.50 |  +12.58% |   803.94M | [HOLD (2/4)]
KKP        | 112.00 |   -0.44% |  1342.07M | [HOLD (1/4)]
KTB        |  44.25 |   +3.51% |  3879.42M | [HOLD (2/4)]
KTC        |  38.25 |   -0.65% |   781.85M | [HOLD (1/4)]
LH         |   3.80 |   +0.53% |    57.65M | [HOLD (2/4)]
M          |  21.50 |   +0.00% |    18.53M | [HOLD (2/4)]
MASTER     |   9.00 |   +1.69% |     2.97M | [HOLD (2/4)]
MBK        |  22.90 |   +3.62% |    35.97M | [HOLD (3/4)]
MEGA       |  37.75 |   +0.00% |    19.41M | [HOLD (2/4)]
MINT       |  23.70 |   +2.60% |   973.00M | [HOLD (2/4)]
MTC        |  34.00 |   +0.00% |   383.29M | [HOLD (2/4)]
NEX        |   1.02 |   +2.00% |     6.57M | [HOLD (1/4)]
OR         |  12.90 |   +0.78% |   142.32M | [HOLD (2/4)]
ORI        |   2.08 |   +5.05% |     4.33M | [HOLD (2/4)]
OSP        |  17.40 |   -0.57% |   100.19M | [HOLD (1/4)]
PLANB      |   6.10 |   +0.83% |   180.15M | [HOLD (3/4)]
PRM        |  10.00 |   +1.01% |    72.11M | [HOLD (3/4)]
PSL        |   8.15 |   +2.52% |    25.38M | [HOLD (2/4)]
PTG        |   7.50 |   +0.00% |    18.02M | [HOLD (1/4)]
PTT        |  38.25 |   -0.65% |  2790.41M | [HOLD (1/4)]
PTTEP      | 148.50 |   +0.00% |  2586.91M | [HOLD (2/4)]
PTTGC      |  36.75 |   +0.00% |  1181.88M | [HOLD (1/4)]
QH         |   1.44 |   +1.41% |    19.76M | [HOLD (2/4)]
RATCH      |  38.00 |   -1.94% |   176.10M | [HOLD (1/4)]
RBF        |   5.00 |   +0.00% |     7.68M | [HOLD (3/4)]
RCL        |  35.25 |   +2.92% |    91.21M | [HOLD (3/4)]
SAWAD      |  24.80 |   +0.40% |   377.06M | [HOLD (1/4)]
SCB        | 152.50 |   +0.33% |  2776.23M | [HOLD (2/4)]
SCC        | 254.00 |   -0.39% |  1346.92M | [HOLD (2/4)]
SCGP       |  30.00 |   -0.83% |   221.69M | [HOLD (1/4)]
SNNP       |   7.15 |   +2.88% |     3.11M | [HOLD (2/4)]
SPALI      |  16.10 |   +0.63% |    42.92M | [HOLD (3/4)]
SPRC       |  10.90 |   +0.93% |   386.30M | 🔥 [BUY SIGNAL (4/4)]
STA        |  18.60 |   +1.09% |   145.40M | [HOLD (2/4)]
STGT       |  10.30 |   +0.00% |    10.03M | [HOLD (1/4)]
TCAP       |  78.00 |   +9.47% |   526.44M | [HOLD (3/4)]
THG        |   7.50 |   +1.35% |     4.52M | [HOLD (2/4)]
TIDLOR     |  19.00 |   -0.52% |   287.32M | [HOLD (1/4)]
TIPH       |  23.50 |   +1.29% |     7.56M | [HOLD (2/4)]
TISCO      | 129.00 |   +0.78% |   477.56M | [HOLD (2/4)]
TLI        |  11.60 |   -0.85% |   111.46M | [HOLD (1/4)]
TOP        |  64.50 |   +1.18% |   967.98M | [HOLD (2/4)]
TPIPL      |   0.88 |   +0.00% |    56.51M | [HOLD (2/4)]
TPIPP      |   1.81 |   +1.12% |     5.52M | [HOLD (2/4)]
TRUE       |  14.50 |   -0.68% |  2907.48M | [HOLD (3/4)]
TTB        |   3.10 |   +1.97% |  1510.11M | [HOLD (2/4)]
TU         |  12.40 |   +0.81% |   167.04M | 🔥 [BUY SIGNAL (4/4)]
WHA        |   4.90 |   +2.08% |   947.43M | [HOLD (1/4)]
TFG        |   9.85 |   +0.51% |   112.84M | [HOLD (1/4)]
AAV        |   1.06 |   +0.95% |    25.46M | [HOLD (2/4)]
ITEL       |   1.70 |   +3.66% |     6.10M | [HOLD (2/4)]
THCOM      |  10.90 |   +0.93% |    31.14M | [HOLD (1/4)]
AIT        |   4.92 |   +0.00% |     3.20M | [HOLD (2/4)]
LANNA      |  14.60 |   +0.00% |     2.55M | [HOLD (1/4)]
BAY        |  40.75 |   +1.24% |    87.28M | [HOLD (2/4)]
SPI        |  32.75 |   +0.77% |     0.12M | [HOLD (1/4)]
SPCG       |   9.20 |   +0.00% |     4.30M | [HOLD (1/4)]
AKR        |   0.90 |   +1.12% |     0.60M | [HOLD (3/4)]
NSL        |  23.10 |   +1.76% |     4.55M | [HOLD (2/4)]
MOSHI      |  42.00 |   +2.44% |    16.83M | 🔥 [BUY SIGNAL (4/4)]
CMR        |   1.25 |   +0.00% |     0.10M | [HOLD (1/4)]
META80     |   2.30 |   +0.88% |    50.01M | [HOLD (1/4)]
AMD80      |   3.40 |  +17.24% |    65.32M | [HOLD (1/4)]
MSFT80     |   7.45 |   +5.67% |    60.76M | [HOLD (3/4)]
GOOG80     |   5.70 |   +1.79% |    93.83M | [HOLD (2/4)]
AVGO80     |   2.64 |   +5.60% |     6.96M | [HOLD (3/4)]
MICRON80   |  30.75 |  +24.49% |    29.14M | [HOLD (2/4)]
TSLA80     |   2.12 |   +4.95% |    69.56M | [HOLD (2/4)]
AMZN80     |   2.18 |  +10.66% |    15.67M | [HOLD (3/4)]
PEP80      |   0.94 |   -2.08% |     1.30M | [HOLD (4/4)]
MRVL80     |   6.65 |  +20.91% |    12.42M | [HOLD (2/4)]
NOVOB80    |   1.71 |   +0.00% |     2.99M | [HOLD (3/4)]
SP500US80  |   2.94 |   +0.68% |     1.87M | [HOLD (1/4)]
KO80       |   2.94 |   -1.34% |     0.86M | [HOLD (4/4)]
SBUX80     |   1.78 |   -3.26% |     0.23M | [HOLD (2/4)]
SONY80     |   3.92 |   +1.03% |     1.48M | [HOLD (4/4)]
SINGTEL80  |  11.70 |   -1.68% |     0.99M | [HOLD (2/4)]
JD80       |   5.35 |   -0.93% |     4.00M | [HOLD (3/4)]
NIKE80     |   0.71 |   +0.00% |     0.41M | [HOLD (1/4)]
PFIZER19   |  16.60 |   -1.19% |     2.05M | [HOLD (2/4)]
VNM19      |   7.75 |   -0.64% |     3.11M | [HOLD (4/4)]
THAIBEV19  |  12.00 |   +0.00% |     0.50M | [HOLD (3/4)]
DBS19      |  19.30 |   -1.03% |     2.05M | [HOLD (2/4)]
UOB19      |  11.20 |   -1.75% |     0.04M | [HOLD (1/4)]
SPFIN80    |  19.00 |   -0.52% |     0.03M | [HOLD (1/4)]
SPCOM80    |   3.56 |   -2.73% |     0.03M | [HOLD (1/4)]
HK01       |  22.50 |   -0.88% |     0.60M | [HOLD (3/4)]
SPBOND80   |   8.45 |   -0.59% |     0.19M | [HOLD (1/4)]
SMIC23     |   3.20 |   +0.00% |    11.98M | [HOLD (1/4)]
HUAHONG23  |   7.95 |   +3.25% |    22.16M | [HOLD (1/4)]
