=== SETTRADE SCANNER FULL REPORT ===
Date/Time: 31/07/2026 13:21:36
--------------------------------------------------
Symbol     | Price  | Change%  | Value 5D   | Status         
--------------------------------------------------
AAI        |   4.02 |   +2.03% |    15.31M | [HOLD (3/4)]
ADVANC     | 380.00 |   +0.53% |  2054.53M | [HOLD (2/4)]
AMATA      |  28.25 |   +2.73% |   313.52M | [HOLD (2/4)]
AOT        |  63.75 |   +0.39% |  2068.16M | [HOLD (3/4)]
AP         |   8.30 |   +1.84% |    63.88M | [HOLD (3/4)]
AWC        |   3.00 |   -1.32% |   303.26M | [HOLD (4/4)]
BAM        |   6.90 |   -0.72% |   116.54M | [HOLD (2/4)]
BBGI       |   4.96 |   +1.22% |     8.94M | [HOLD (1/4)]
BBL        | 191.00 |   +0.00% |  3303.52M | [HOLD (1/4)]
BCH        |  10.30 |   +0.98% |    56.78M | [HOLD (2/4)]
BCP        |  44.25 |   -0.56% |   465.45M | [HOLD (1/4)]
BCPG       |   7.10 |   +0.00% |    48.84M | [HOLD (1/4)]
BDMS       |  19.30 |   +1.58% |   938.77M | [HOLD (2/4)]
BEM        |   6.85 |   +2.24% |   153.79M | [HOLD (2/4)]
BGRIM      |  18.90 |   +0.53% |   387.39M | [HOLD (1/4)]
BH         | 187.50 |   +0.54% |   690.43M | [HOLD (3/4)]
BJC        |  16.10 |   -1.23% |   247.12M | [HOLD (4/4)]
BLA        |  25.50 |   +0.99% |    29.09M | [HOLD (1/4)]
BTS        |   2.16 |   +4.85% |   129.05M | [HOLD (2/4)]
BYD        |   0.47 |   +2.17% |     0.88M | [HOLD (1/4)]
CBG        |  51.00 |   +0.49% |   228.22M | [HOLD (3/4)]
CENTEL     |  38.25 |   -1.29% |   144.51M | [HOLD (2/4)]
CHG        |   1.55 |   +0.00% |    25.06M | [HOLD (2/4)]
CK         |  18.40 |   +2.22% |   119.32M | [HOLD (1/4)]
CKP        |   2.54 |   +0.00% |    11.16M | [HOLD (1/4)]
COM7       |  30.75 |   +0.82% |   309.37M | [HOLD (3/4)]
CPALL      |  48.00 |   +2.13% |  1051.06M | [HOLD (3/4)]
CPF        |  22.40 |   +1.36% |   376.65M | [HOLD (2/4)]
CPN        |  68.50 |   +1.11% |   515.30M | [HOLD (3/4)]
CRC        |  26.50 |   +6.85% |   453.28M | 🔥 [BUY SIGNAL (4/4)]
DELTA      | 277.00 |   +4.92% |  5337.78M | [HOLD (1/4)]
EA         |   2.92 |   +0.69% |    84.13M | [HOLD (1/4)]
EGCO       | 132.50 |   -1.85% |   164.66M | [HOLD (1/4)]
EKH        |   5.05 |   +1.00% |     1.21M | [HOLD (3/4)]
FORTH      |  17.90 |  +11.18% |   202.56M | [HOLD (3/4)]
GLOBAL     |   7.40 |   +0.00% |    90.00M | [HOLD (3/4)]
GPSC       |  51.50 |   -1.44% |   501.99M | [HOLD (1/4)]
GULF       |  66.75 |   +1.52% |  2624.78M | [HOLD (2/4)]
