=== SETTRADE SCANNER FULL REPORT ===
Date/Time: 31/07/2026 11:02:51
--------------------------------------------------
Symbol     | Price  | Change%  | Value 5D   | Status         
--------------------------------------------------
AAI        |   4.02 |   +2.03% |    14.22M | [HOLD (3/4)]
ADVANC     | 380.00 |   +0.53% |  1964.88M | [HOLD (2/4)]
AMATA      |  28.00 |   +1.82% |   276.14M | [HOLD (2/4)]
AOT        |  64.00 |   +0.79% |  2040.63M | [HOLD (3/4)]
AP         |   8.25 |   +1.23% |    58.62M | [HOLD (3/4)]
AWC        |   3.02 |   -0.66% |   288.67M | [HOLD (4/4)]
BAM        |   6.85 |   -1.44% |   110.61M | [HOLD (2/4)]
BBGI       |   4.96 |   +1.22% |     8.74M | [HOLD (1/4)]
BBL        | 191.50 |   +0.26% |  3236.36M | [HOLD (1/4)]
BCH        |  10.20 |   +0.00% |    56.05M | [HOLD (1/4)]
BCP        |  44.25 |   -0.56% |   455.80M | [HOLD (1/4)]
BCPG       |   7.20 |   +1.41% |    46.62M | [HOLD (1/4)]
BDMS       |  19.20 |   +1.05% |   923.71M | [HOLD (2/4)]
BEM        |   6.80 |   +1.49% |   134.03M | [HOLD (2/4)]
BGRIM      |  18.70 |   -0.53% |   370.00M | [HOLD (1/4)]
BH         | 188.00 |   +0.80% |   634.49M | [HOLD (3/4)]
BJC        |  16.10 |   -1.23% |   238.19M | [HOLD (4/4)]
BLA        |  25.25 |   +0.00% |    27.58M | [HOLD (1/4)]
BTS        |   2.18 |   +5.83% |   113.75M | [HOLD (2/4)]
BYD        |   0.46 |   +0.00% |     0.84M | [HOLD (1/4)]
CBG        |  51.50 |   +1.48% |   223.13M | [HOLD (3/4)]
CENTEL     |  39.00 |   +0.65% |   142.07M | 🔥 [BUY SIGNAL (4/4)]
CHG        |   1.56 |   +0.65% |    23.47M | [HOLD (2/4)]
CK         |  18.40 |   +2.22% |   116.17M | [HOLD (1/4)]
CKP        |   2.54 |   +0.00% |    10.96M | [HOLD (1/4)]
COM7       |  30.50 |   +0.00% |   299.07M | [HOLD (3/4)]
CPALL      |  48.00 |   +2.13% |   961.17M | [HOLD (3/4)]
