=== SETTRADE SCANNER FULL REPORT ===
Date/Time: 31/07/2026 17:50:27
--------------------------------------------------
Symbol     | Price  | Change%  | Value 5D   | Status         
--------------------------------------------------
AAI        |   4.06 |   +3.05% |    21.09M | [HOLD (3/4)]
ADVANC     | 380.00 |   +0.53% |  2368.81M | [HOLD (2/4)]
AMATA      |  29.00 |   +5.45% |   380.75M | [HOLD (3/4)]
AOT        |  63.75 |   +0.39% |  2226.31M | [HOLD (3/4)]
AP         |   8.30 |   +1.84% |    78.70M | [HOLD (3/4)]
AWC        |   2.96 |   -2.63% |   328.25M | [HOLD (4/4)]
BAM        |   6.90 |   -0.72% |   128.10M | [HOLD (2/4)]
BBGI       |   5.05 |   +3.06% |     9.96M | [HOLD (2/4)]
BBL        | 191.50 |   +0.26% |  3480.35M | [HOLD (1/4)]
BCH        |  10.30 |   +0.98% |    61.23M | [HOLD (2/4)]
BCP        |  44.75 |   +0.56% |   573.45M | [HOLD (2/4)]
BCPG       |   7.10 |   +0.00% |    56.61M | [HOLD (1/4)]
BDMS       |  19.20 |   +1.05% |  1056.29M | [HOLD (2/4)]
BEM        |   6.75 |   +0.75% |   175.44M | [HOLD (2/4)]
BGRIM      |  18.80 |   +0.00% |   426.89M | [HOLD (1/4)]
BH         | 187.50 |   +0.54% |   772.98M | [HOLD (3/4)]
BJC        |  16.20 |   -0.61% |   262.91M | [HOLD (4/4)]
BLA        |  26.00 |   +2.97% |    38.73M | [HOLD (1/4)]
BTS        |   2.14 |   +3.88% |   149.55M | [HOLD (1/4)]
BYD        |   0.46 |   +0.00% |     0.92M | [HOLD (1/4)]
CBG        |  51.25 |   +0.99% |   248.32M | [HOLD (3/4)]
CENTEL     |  38.50 |   -0.65% |   166.69M | [HOLD (2/4)]
CHG        |   1.59 |   +2.58% |    36.63M | [HOLD (3/4)]
CK         |  18.30 |   +1.67% |   132.85M | [HOLD (1/4)]
CKP        |   2.58 |   +1.57% |    12.11M | [HOLD (2/4)]
COM7       |  30.50 |   +0.00% |   346.32M | [HOLD (3/4)]
CPALL      |  48.00 |   +2.13% |  1181.78M | [HOLD (3/4)]
CPF        |  22.50 |   +1.81% |   445.56M | [HOLD (2/4)]
CPN        |  69.00 |   +1.85% |   589.11M | [HOLD (3/4)]
CRC        |  26.75 |   +7.86% |   543.35M | 🔥 [BUY SIGNAL (4/4)]
DELTA      | 278.00 |   +5.30% |  5892.26M | [HOLD (1/4)]
EA         |   2.92 |   +0.69% |    92.85M | [HOLD (1/4)]
EGCO       | 134.50 |   -0.37% |   215.03M | [HOLD (2/4)]
EKH        |   5.00 |   +0.00% |     1.27M | [HOLD (1/4)]
FORTH      |  18.00 |  +11.80% |   232.53M | [HOLD (3/4)]
GLOBAL     |   7.40 |   +0.00% |   103.26M | [HOLD (3/4)]
GPSC       |  51.75 |   -0.96% |   588.79M | [HOLD (1/4)]
GULF       |  66.75 |   +1.52% |  3062.56M | [HOLD (2/4)]
GUNKUL     |   5.05 |   +0.00% |   317.46M | [HOLD (1/4)]
HANA       |  36.00 |   +7.46% |  1005.95M | [HOLD (1/4)]
HMPRO      |   6.50 |   +0.78% |   352.83M | [HOLD (2/4)]
IRPC       |   2.20 |   +5.77% |   263.08M | [HOLD (2/4)]
IVL        |  22.10 |   +1.38% |   840.68M | [HOLD (1/4)]
JAS        |   1.09 |   +2.83% |    15.45M | [HOLD (2/4)]
JMART      |  11.10 |   +0.91% |   121.21M | [HOLD (1/4)]
JMT        |  12.00 |   +0.84% |    85.86M | [HOLD (2/4)]
KBANK      | 244.00 |   +0.83% |  3897.45M | [HOLD (3/4)]
KCE        |  42.00 |  +11.26% |   903.50M | [HOLD (2/4)]
KKP        | 111.00 |   -1.33% |  1610.60M | [HOLD (1/4)]
KTB        |  44.25 |   +3.51% |  4278.28M | [HOLD (2/4)]
KTC        |  38.25 |   -0.65% |  1061.82M | [HOLD (1/4)]
LH         |   3.82 |   +1.06% |    70.73M | [HOLD (3/4)]
M          |  21.40 |   -0.47% |    20.37M | [HOLD (2/4)]
MASTER     |   9.00 |   +1.69% |     3.45M | [HOLD (2/4)]
MBK        |  22.60 |   +2.26% |    39.86M | [HOLD (2/4)]
MEGA       |  38.00 |   +0.66% |    22.75M | [HOLD (3/4)]
MINT       |  23.60 |   +2.16% |  1040.83M | [HOLD (2/4)]
MTC        |  34.25 |   +0.74% |   419.90M | [HOLD (2/4)]
NEX        |   1.02 |   +2.00% |     6.80M | [HOLD (1/4)]
OR         |  12.80 |   +0.00% |   157.69M | [HOLD (1/4)]
ORI        |   2.06 |   +4.04% |     5.06M | [HOLD (2/4)]
OSP        |  17.60 |   +0.57% |   108.13M | [HOLD (2/4)]
PLANB      |   6.10 |   +0.83% |   185.84M | [HOLD (3/4)]
PRM        |  10.10 |   +2.02% |    86.23M | [HOLD (3/4)]
PSL        |   8.05 |   +1.26% |    28.06M | [HOLD (1/4)]
PTG        |   7.55 |   +0.67% |    21.48M | [HOLD (1/4)]
PTT        |  38.50 |   +0.00% |  3004.32M | [HOLD (1/4)]
PTTEP      | 149.00 |   +0.34% |  2786.67M | [HOLD (3/4)]
PTTGC      |  36.75 |   +0.00% |  1299.82M | [HOLD (1/4)]
QH         |   1.45 |   +2.11% |    23.90M | [HOLD (2/4)]
RATCH      |  38.50 |   -0.65% |   211.68M | [HOLD (1/4)]
RBF        |   4.98 |   -0.40% |     8.13M | [HOLD (3/4)]
RCL        |  35.00 |   +2.19% |   115.94M | [HOLD (3/4)]
SAWAD      |  24.70 |   +0.00% |   405.83M | [HOLD (1/4)]
SCB        | 153.00 |   +0.66% |  2923.36M | [HOLD (2/4)]
SCC        | 254.00 |   -0.39% |  1515.80M | [HOLD (2/4)]
SCGP       |  30.50 |   +0.83% |   257.79M | [HOLD (3/4)]
SNNP       |   7.10 |   +2.16% |     3.57M | [HOLD (2/4)]
SPALI      |  15.90 |   -0.63% |    77.61M | [HOLD (2/4)]
SPRC       |  11.10 |   +2.78% |   409.15M | 🔥 [BUY SIGNAL (4/4)]
STA        |  18.60 |   +1.09% |   159.11M | [HOLD (2/4)]
STGT       |  10.30 |   +0.00% |    10.92M | [HOLD (1/4)]
