📊 รายงานผลการสแกนหุ้น SET100 (2026-07-31 17:45)
สรุปสัญญาณวันนี้: ซื้อ 35 | ขาย 50 | ถือ 56
=======================================================
   Symbol  Price  EMA14    Volume    VolMA5     MACD  Signal     CCI Status
       QH   1.45   1.40  31210146  12144429   0.0140  0.0115  155.56  🟢 BUY
    RATCH  38.50  38.00  10158534   3940186   1.6593  1.8167   16.32 🟡 HOLD
      RBF   4.98   4.97    903106    860081   0.0455  0.0684   58.91 🟡 HOLD
      RCL  35.00  33.78   6917161   2721052   0.6757  0.5613   99.57  🟢 BUY
    SAWAD  24.70  24.76  13147656  10969631   0.4690  0.6033  -41.56 🔴 SELL
      SCB 153.00 153.74  12736462  10024992   1.8013  2.7160 -106.78 🔴 SELL
      SCC 254.00 253.15   5717940   4174668   3.6071  4.0828  -42.62 🟡 HOLD
     SCGP  30.50  29.73  12616199   7130599   0.8075  0.8736   73.54 🟡 HOLD
     SNNP   7.10   7.05    934070    357554   0.0705  0.0835  -19.44 🟡 HOLD
    SPALI  15.90  15.92  13466138   4592087   0.0361  0.0387   49.30 🔴 SELL
     SPRC  11.10   9.99  28898341  23380568   0.8655  0.7173   98.30  🟢 BUY
      STA  18.60  18.59   7626742   4556788   0.1710  0.1816  -88.15 🔴 SELL
     STGT  10.30  10.46   1227998    670119  -0.0604 -0.0340 -106.67 🔴 SELL
     TCAP  78.25  73.08  23046824   7365764   2.2283  2.2766  229.23 🟡 HOLD
      THG   7.45   7.44    651916    546663  -0.0338 -0.0338  -14.68  🟢 BUY
   TIDLOR  19.00  19.16  12123555  12408291   0.1344  0.2374  -52.83 🔴 SELL
     TIPH  23.70  23.44    262254    313650   0.2716  0.3435   17.78 🟡 HOLD
    TISCO 128.50 127.82   9055141   4212988   2.7428  3.1337    5.45 🟡 HOLD
      TLI  11.70  11.71  15947620   9010144   0.0840  0.1206  -73.20 🔴 SELL
      TOP  65.50  61.58  17575549  10981509   4.3279  4.1269   64.51  🟢 BUY
    TPIPL   0.90   0.87  77988681  66079596   0.0242  0.0196   79.30  🟢 BUY
    TPIPP   1.80   1.81   1463930   2454986   0.0084  0.0102  -99.56 🔴 SELL
     TRUE  14.40  13.98 206674044 175763668   0.2150  0.1402  190.73  🟢 BUY
      TTB   3.06   2.93 563848655 369622051   0.1594  0.1436   80.36  🟢 BUY
       TU  12.20  12.09  18859176   9538335   0.1752  0.1630   63.11  🟢 BUY
      WHA   4.86   5.09 389732040 192509648  -0.0557  0.0223  -94.18 🔴 SELL
      TFG   9.85  10.11  21026626  10707565  -0.0183  0.0899 -100.99 🔴 SELL
      AAV   1.06   1.06  26815742  18041588  -0.0084 -0.0076  -24.71 🔴 SELL
     ITEL   1.71   1.69   4527899   2735899   0.0550  0.0740  -51.22 🟡 HOLD
    THCOM  10.90  10.96   2547310   2367662  -0.1224 -0.1046  -55.17 🔴 SELL
      AIT   4.92   4.89   1234804    645440   0.0391  0.0432   76.09 🟡 HOLD
    LANNA  14.70  14.62    210011    148962   0.0386  0.0471  -26.38 🟡 HOLD
      BAY  40.50  41.99   1702791   1622458   0.1210  0.8747  -74.94 🔴 SELL
      SPI  32.25  33.28     20400      5600   0.1521  0.3161 -153.36 🔴 SELL
     SPCG   9.20   9.19    457376    382835   0.0634  0.0807  -42.88 🟡 HOLD
      AKR   0.89   0.90   1527401    509600  -0.0021  0.0004 -117.46 🔴 SELL
      NSL  23.00  22.84    306553    163350   0.1807  0.2604   -3.74 🟡 HOLD
    MOSHI  42.00  39.75    892814    401102   0.8075  0.6149  261.39  🟢 BUY
      CMR   1.25   1.26     41220     44604  -0.0074 -0.0064  -77.78 🔴 SELL
      TFG   9.85  10.11  21026626  10707565  -0.0183  0.0899 -100.99 🔴 SELL
    THCOM  10.90  10.96   2547310   2367662  -0.1224 -0.1046  -55.17 🔴 SELL
      AIT   4.92   4.89   1234804    645440   0.0391  0.0432   76.09 🟡 HOLD
    LANNA  14.70  14.62    210011    148962   0.0386  0.0471  -26.38 🟡 HOLD
      BAY  40.50  41.99   1702791   1622458   0.1210  0.8747  -74.94 🔴 SELL
   META80   2.32   2.53  65439756  21933739  -0.0208  0.0300 -156.60 🔴 SELL
    AMD80   3.38   3.46  22773756  29012274   0.0085  0.0571 -109.53 🔴 SELL
   MSFT80   7.50   6.72  23014149   7347363   0.1197  0.0434  274.81  🟢 BUY
   GOOG80   5.75   5.70  14550629   6825987  -0.0966 -0.0712  -22.46 🟡 HOLD
   AVGO80   2.62   2.58   3471102   4134891   0.0065  0.0010   -3.78 🟡 HOLD
 MICRON80  30.50  30.95   1796902   1279862  -0.7208 -0.3401  -76.78 🔴 SELL
   TSLA80   2.10   2.37  61454581  37254981  -0.1328 -0.0688 -129.78 🔴 SELL
   AMZN80   2.22   2.04  25040217   6530637   0.0038  0.0004   92.12  🟢 BUY
    PEP80   0.95   0.94    332239    593546  -0.0013 -0.0050  154.35 🟡 HOLD
   MRVL80   6.65   6.97   3405033   3037097  -0.5082 -0.4028  -84.80 🔴 SELL
  NOVOB80   1.69   1.66   1063125   2919160   0.0353  0.0403   82.94 🟡 HOLD
SP500US80   2.92   2.95    582093    673117   0.0121  0.0201 -226.67 🔴 SELL
     KO80   2.98   2.83    232949    191568   0.0457  0.0353  174.54  🟢 BUY
   SBUX80   1.77   1.77    478185    127131   0.0196  0.0222   46.82 🟡 HOLD
   SONY80   3.90   3.63    239987    406808   0.0849  0.0464  231.80 🟡 HOLD
