📊 รายงานผลการสแกนหุ้น SET100 (2026-08-04 05:38)
สรุปสัญญาณวันนี้: ซื้อ 32 | ขาย 50 | ถือ 59
=======================================================
   Symbol  Price  EMA14    Volume    VolMA5     MACD  Signal     CCI Status
       QH   1.45   1.40  31120100  12126420   0.0140  0.0115  155.56  🟢 BUY
    RATCH  38.50  38.00   8317200   3571920   1.6593  1.8167   16.32 🟡 HOLD
      RBF   4.98   4.97    852900    850040   0.0455  0.0684   58.91 🟡 HOLD
      RCL  35.00  33.78   7281500   2793920   0.6757  0.5613   99.57  🟢 BUY
    SAWAD  24.70  24.76  12301000  10800300   0.4690  0.6033  -41.56 🔴 SELL
      SCB 153.00 153.74  12543200   9986340   1.8013  2.7160 -106.78 🔴 SELL
      SCC 254.00 253.15   5687100   4168500   3.6071  4.0828  -42.62 🟡 HOLD
     SCGP  30.50  29.73  11400200   6887400   0.8075  0.8736   73.54 🟡 HOLD
     SNNP   7.10   7.05    933700    357480   0.0705  0.0835  -19.44 🟡 HOLD
    SPALI  15.90  15.92  13425000   4583860   0.0361  0.0387   49.30 🔴 SELL
     SPRC  11.10   9.99  24858900  22572680   0.8655  0.7173   98.30  🟢 BUY
      STA  18.60  18.59   7165900   4464620   0.1710  0.1816  -88.15 🔴 SELL
     STGT  10.30  10.46   1191000    662720  -0.0604 -0.0340 -106.67 🔴 SELL
     TCAP  78.25  73.08  23010400   7358480   2.2283  2.2766  229.23 🟡 HOLD
      THG   7.45   7.44    632900    542860  -0.0338 -0.0338  -14.68  🟢 BUY
   TIDLOR  19.00  19.16  12009500  12385480   0.1344  0.2374  -52.83 🔴 SELL
     TIPH  23.70  23.44    202600    301720   0.2716  0.3435   17.78 🟡 HOLD
    TISCO 128.50 127.82   9028200   4207600   2.7428  3.1337    5.45 🟡 HOLD
      TLI  11.70  11.71  14362300   8693080   0.0840  0.1206  -73.20 🔴 SELL
      TOP  65.50  61.58  15753900  10617180   4.3279  4.1269   64.51  🟢 BUY
    TPIPL   0.90   0.87  77629600  66007780   0.0242  0.0196   79.30  🟢 BUY
    TPIPP   1.80   1.81   1463700   2454940   0.0084  0.0102  -99.56 🔴 SELL
     TRUE  14.40  13.98 206414000 175711660   0.2150  0.1402  190.73  🟢 BUY
      TTB   3.06   2.93 556010400 368054400   0.1594  0.1436   80.36  🟢 BUY
       TU  12.20  12.09  18184300   9403360   0.1752  0.1630   63.11  🟢 BUY
      WHA   4.86   5.09 377406100 190044460  -0.0557  0.0223  -94.18 🔴 SELL
      TFG   9.85  10.11  17926900  10087620  -0.0183  0.0899 -100.99 🔴 SELL
      AAV   1.06   1.06  26783000  18035040  -0.0084 -0.0076  -24.71 🔴 SELL
     ITEL   1.71   1.69   4470400   2724400   0.0550  0.0740  -51.22 🟡 HOLD
    THCOM  10.90  10.96   2543900   2366980  -0.1224 -0.1046  -55.17 🔴 SELL
